Plot;N;Species;x;y
9;1;Abies sachalinensis;1.479622329;-1.532193775
9;2;Picea ajanensis;1.126731751;-2.119074223
9;3;Sorbus commixta;0.577166471;-2.154014593
9;4;Abies sachalinensis;-0.704260396;-1.743105647
9;6;Abies sachalinensis;-1.4;-2.424871131
9;7;Abies sachalinensis;-1.561086977;-2.816275457
9;8;Picea ajanensis;-1.962146776;-1.532997074
9;9;Abies sachalinensis;-3.738296882;-3.136803535
9;10;Abies sachalinensis;-2.396448726;-0.336798904
9;11;Picea ajanensis;-2.893926838;0.458352983
9;12;Abies sachalinensis;-3.06827967;0.268439688
9;13;Picea ajanensis;-3.525354325;0.495456239
9;14;Picea ajanensis;-3.73943038;-0.065272
9;15;Abies sachalinensis;-4.88;-8.96809E-16
9;16;Abies sachalinensis;-5.456675355;-0.381567911
9;17;Picea ajanensis;-7.361878819;-0.644080939
9;18;Picea ajanensis;-8.637008032;0.75564029
9;19;Picea ajanensis;-5.267714094;1.51049271
9;20;Abies sachalinensis;-4.790572267;2.336518212
9;21;Picea ajanensis;-5.176747906;2.637684803
9;22;Abies sachalinensis;-6.280712964;2.928744554
9;23;Abies sachalinensis;-7.045915212;4.233612976
9;24;Abies sachalinensis;-4.793284124;4.315892411
9;25;Abies sachalinensis;-5.142562192;4.630383796
9;26;Picea ajanensis;-0.892709139;1.142615593
9;27;Picea ajanensis;-0.757215533;3.037025623
9;28;Abies sachalinensis;-0.564356577;3.200625197
9;29;Abies sachalinensis;-0.327705593;3.745692065
9;30;Abies sachalinensis;-0.084120599;4.819265891
9;31;Picea ajanensis;-0.647126213;5.270420065
9;32;Abies sachalinensis;0.184618338;5.286777475
9;33;Picea ajanensis;1.332713938;6.269926121
9;34;Abies sachalinensis;-1.393008328;6.553588925
9;35;Picea ajanensis;-1.753053583;6.113624386
9;36;Abies sachalinensis;-1.87731391;7.529494836
9;37;Picea ajanensis;0.153930225;8.818656671
9;38;Abies sachalinensis;0.547588319;7.830877795
9;39;Picea ajanensis;1.09316801;8.90313898
9;40;Abies sachalinensis;-2.078305663;-7.247913187
9;41;Abies sachalinensis;3.677639694;5.885453787
9;42;Picea ajanensis;-2.06;-3.568024664
9;43;Abies sachalinensis;-2.135257582;5.284947971
9;44;Picea ajanensis;3.437300208;6.201053724
9;45;Abies sachalinensis;6.548897953;3.336830173
9;46;Abies sachalinensis;-1.363138195;7.730740861
9;47;Abies sachalinensis;7.022280757;1.881614458
9;48;Abies sachalinensis;4.579539304;1.057269955
9;49;Picea ajanensis;3.568448405;1.978023251
9;50;Abies sachalinensis;2.549038754;2.064170883
9;51;Abies sachalinensis;-2.854387102;-5.368321365
9;52;Abies sachalinensis;7.802737891;1.235832274
9;53;Abies sachalinensis;7.635345918;0.266632155
9;54;Abies sachalinensis;7.110242287;0.372632008
9;55;Abies sachalinensis;6.655942908;-0.232430648
9;56;Abies sachalinensis;5.748336555;-0.604174518
9;57;Abies sachalinensis;6.781615651;-1.565659338
9;58;Picea ajanensis;6.935335232;-2.802057319
9;59;Abies sachalinensis;7.723553981;-1.925698289
9;60;Abies sachalinensis;8.144360117;-1.436070429
9;61;Abies sachalinensis;-3.013268206;-6.461974522
9;62;Abies sachalinensis;8.434858429;-1.335950331
9;63;Abies sachalinensis;-4.681812401;-4.21552282
9;64;Picea ajanensis;3.097127702;-3.097127702
9;65;Picea ajanensis;2.684284032;-3.435726886
9;66;Abies sachalinensis;3.64098089;-4.831744836
9;67;Abies sachalinensis;4.128363885;-6.357122905
9;68;Picea ajanensis;-3.776666942;-6.813287519
9;69;Sorbus commixta;-4.041548862;-4.488594746
9;70;Picea ajanensis;-4.285670318;-8.411101588
9;71;Picea ajanensis;-6.962487239;-6.492624388
9;72;Abies sachalinensis;-5.235943899;-9.445892837
9;73;Picea ajanensis;-5.892994359;-9.074415545
9;74;Picea ajanensis;-8.330653494;-7.500954097
9;75;Abies sachalinensis;-6.464206438;-9.231843539
9;76;Picea ajanensis;1.551780076;-11.04148897
9;77;Picea ajanensis;4.131910725;-10.22683792
9;78;Abies sachalinensis;3.915125907;-9.223458632
9;79;Abies sachalinensis;8.089429319;-6.787837158
9;80;Abies sachalinensis;9.02552634;-2.932571277
9;81;Abies sachalinensis;9.149334908;2.1122904
9;82;Picea ajanensis;8.803884365;1.080981076
9;83;Picea ajanensis;9.939374579;4.425294677
9;84;Abies sachalinensis;7.759662774;7.2360026
9;85;Picea ajanensis;6.980673441;8.319242652
9;86;Picea ajanensis;5.500561963;8.802739238
9;87;Picea ajanensis;2.183072754;10.27054981
9;88;Abies sachalinensis;0.752672352;10.7637161
9;89;Picea ajanensis;1.684387323;9.552635204
9;90;Abies sachalinensis;1.847031075;9.502151136
9;91;Abies sachalinensis;-4.755982375;8.580019327
9;92;Picea ajanensis;-7.020756451;6.779865696
9;93;Picea ajanensis;4.165;-7.213991614
9;94;Picea ajanensis;3.88722454;-7.310806069
9;95;Abies sachalinensis;4.328527809;-8.140776806
9;96;Picea ajanensis;3.712351341;-9.188391999
9;97;Abies sachalinensis;2.916243225;-10.17014874
9;98;Picea ajanensis;-8.901155177;4.535365092
9;99;Picea ajanensis;-9.653048057;4.708106117
9;100;Picea ajanensis;-10.42258946;1.095458295
9;101;Abies sachalinensis;-9.792560701;-2.993886256
9;102;Picea ajanensis;-9.262566707;-3.742319868
9;103;Picea ajanensis;-9.405948946;-3.056178074
9;104;Abies sachalinensis;-6.705003585;-3.270248755
9;105;Picea ajanensis;-5.525507786;-4.47446798
9;106;Abies sachalinensis;-7.344096513;4.589100828
9;107;Abies sachalinensis;-7.659071614;5.36293968
9;108;Abies sachalinensis;-7.229207633;4.876162118
9;109;Picea ajanensis;-5.548734513;7.363419403
9;110;Picea ajanensis;-6.291606088;7.237664874
9;111;Abies sachalinensis;-5.507547814;7.580489237
9;112;Picea ajanensis;1.338043586;-4.118074716
9;113;Abies sachalinensis;0.662463961;-4.713676007
9;114;Sorbus commixta;2.653064362;-6.250227955
9;115;Picea ajanensis;1.384691861;-6.514463021
9;116;Picea ajanensis;2.271274909;-6.990265395
9;117;Picea ajanensis;-0.278148989;-7.965144891
9;118;Abies sachalinensis;-0.383622559;-7.31995449
9;119;Picea ajanensis;0.634783911;-9.077832857
9;120;Abies sachalinensis;-0.525963812;-7.521632939
9;121;Picea ajanensis;-8.693332437;-2.329371406
9;122;Abies sachalinensis;-8.881580215;1.887838153
9;123;Abies sachalinensis;-7.185496876;6.029347779
9;124;Picea ajanensis;-5.990780522;7.13953421
9;125;Abies sachalinensis;-7.342270876;-6.611010391
9;126;Abies sachalinensis;-5.871728309;-6.754650743
9;127;Picea ajanensis;-6.562861495;-7.821313764
9;128;Abies sachalinensis;-4.213791622;-9.464330941
9;129;Abies sachalinensis;-4.120672528;-10.1990224
9;130;Abies sachalinensis;1.439049864;-10.23937183
9;131;Abies sachalinensis;8.036715747;4.64
9;132;Abies sachalinensis;-4.901426887;-3.829414377
